timestamp,coolroom_c,evap_c,ambient_c,setpoint_c,compressor,defrost,alarm_hi,alarm_lo,probe_fault,cpu_pct,cpu_c0_pct,cpu_c1_pct
01-06-2026 00:00:00,1.9,-2.5,18.0,2.0,0,0,0,0,0,12.0,10.0,14.0
01-06-2026 02:00:00,1.9,-2.5,18.0,2.0,0,0,0,0,0,12.0,10.0,14.0
01-06-2026 04:00:00,1.9,-2.5,18.0,2.0,0,0,0,0,0,12.0,10.0,14.0
01-06-2026 06:00:00,1.9,-2.5,18.0,2.0,0,0,0,0,0,12.0,10.0,14.0
01-06-2026 08:00:00,1.9,-2.5,18.0,2.0,0,0,0,0,0,12.0,10.0,14.0
01-06-2026 10:00:00,2.4,-2.5,18.0,2.0,1,0,0,0,0,12.0,10.0,14.0
01-06-2026 12:00:00,2.4,-2.5,18.0,2.0,1,0,0,0,0,12.0,10.0,14.0
01-06-2026 14:00:00,2.4,-2.5,18.0,2.0,1,0,0,0,0,12.0,10.0,14.0
01-06-2026 16:00:00,2.4,-2.5,18.0,2.0,1,0,0,0,0,12.0,10.0,14.0
01-06-2026 18:00:00,1.9,-2.5,18.0,2.0,0,0,0,0,0,12.0,10.0,14.0
01-06-2026 20:00:00,1.9,-2.5,18.0,2.0,0,0,0,0,0,12.0,10.0,14.0
01-06-2026 22:00:00,1.9,-2.5,18.0,2.0,0,0,0,0,0,12.0,10.0,14.0
